1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2020,90670PTMWN10640,110002141263,PTM & W INDUSTRIES INC.,10640 S. PAINTER AVE.,SANTA FE SPRINGS,LOS ANGELES,CA,90670,"","",33.937565,-118.051380,NAD83,NA,"",NA,NO,339,Miscellaneous Manufacturing,"","","","","","",339999,"","","","","",1320218585065,Diisocyanates,NO,N120,N120,649715,NO,TRI,NO,0,NO,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2020,92665GRFMX2060N,110000480122,FXI INC. - ORANGE,2060 N BATAVIA ST,ORANGE,ORANGE,CA,92865,"","",33.821160,-117.862080,NAD83,FXI INC,829462535,FXI INC,NO,326,Plastics and Rubber,"","","","","","",326150,"","","","","",1320218646952,Toluene diisocyanate (mixed isomers),NO,0026471625,26471-62-5,239681,NO,TRI,NO,0,YES,NO,NO,R,Pounds,5.000000,7.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.000000,0.000000,0.000000,0.000000,0.000000,310.000000,0.000000,310.000000,12.560000,0.000000,0.000000,12.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.000000,322.560000,"",PRODUCTION,1.260000
2020,95131SNMNC2068B,110000484672,SANMINA PLANT # 2,2068 BERING DR,SAN JOSE,SANTA CLARA,CA,95131,"","",37.376596,-121.916705,NAD83,NA,"",SANMINA CORP,NO,334,Computers and Electronic Products,"","","","","","",334412,"","","","","",1320218724173,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,1,NO,YES,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.230000,0.000000,0.000000,0.000000,11.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.230000,0.000000,0.000000,11.230000,"",PRODUCTION,1.020000
2020,9372WGNRLC122EN,110055055826,GENERAL COATINGS MANUFACTURING CORP,1220 E NORTH AVE,FRESNO,FRESNO,CA,93725,"","",36.693360,-119.767670,NAD83,NA,"",NA,NO,325,Chemicals,"","","","","","",325510,"","","","","",1320218812093,Diisocyanates,NO,N120,N120,649715,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4776.500000,0.000000,3517.500000,0.000000,0.000000,8294.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8294.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8294.000000,0.000000,0.000000,8294.000000,"",PRODUCTION,0.230000
2020,94088WSTNG401EH,110000781805,NORTHROP GRUMMAN SYSTEMS CORP,401 E HENDY AVE,SUNNYVALE,SANTA CLARA,CA,94086,"","",37.378700,-122.022500,NAD83,NORTHROP GRUMMAN CORP,967356127,NORTHROP GRUMMAN CORP,NO,333,Machinery,"","","","","","",333611,333612,335312,"","","",1320219048663,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,N090,N090,649475,YES,TRI,YES,1,NO,NO,NO,R,Pounds,0.000000,0.000000,0.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.720000,0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,380.310000,0.000000,0.000000,0.000000,0.000000,0.000000,381.160000,0.000000,9657.280000,0.000000,0.000000,113.020000,9770.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10151.460000,381.880000,0.000000,0.000000,0.720000,380.310000,0.850000,0.000000,0.000000,0.000000,9770.300000,0.000000,0.000000,10152.180000,"",ACTIVITY,0.980000
2020,90745LDQKR21243,110000476119,SHERWIN-WILLIAMS CO,12401 INDUSTRIAL BLVD,VICTORVILLE,SAN BERNARDINO,CA,92395,"","",34.476183,-117.282931,NAD83,THE SHERWIN-WILLIAMS CO,004206397,THE SHERWIN-WILLIAMS CO,NO,325,Chemicals,"","","","","","",325510,"","","","","",1320219207065,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2020,91761NLNDC5100J,110002843291,NEW-INDY CONTAINERBOARD ONTARIO LLC,5100 E. JURUPA ST,ONTARIO,SAN BERNARDINO,CA,91761,"","",34.048070,-117.538200,NAD83,NEW-INDY CONTAINERBOARD LLC,006054100,NEW-INDY CONTAINERBOARD LLC,NO,322,Paper,"","","","","","",322130,"","","","","",1320218882025,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,1,NO,YES,NO,R,Pounds,0.000000,1.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.900000,0.700000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.600000,0.000000,0.000000,0.000000,46.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.300000,48.200000,0.000000,0.000000,1.900000,0.441000,45.859000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.200000,"",PRODUCTION,0.960000
2020,90749RCPRD1801E,110017428988,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,24696 S WILMINGTON AVE,CARSON,LOS ANGELES,CA,90745,"","",33.809900,-118.238300,NAD83,TESORO CORP,008133480,MARATHON PETROLEUM CORP,NO,4247,Petroleum Bulk Terminals,"","","","","","",424710,"","","","","",1320219076573,Toluene,NO,0000108883,108-88-3,25452,YES,TRI,NO,0,NO,NO,NO,R,Pounds,5.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170.000000,0.000000,0.000000,0.000000,0.000000,170.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170.000000,80.000000,0.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170.000000,26.000000,0.000000,276.000000,"",PRODUCTION,0.770000
2020,91730CLFRN9133C,110002647743,METAL COATERS LLC,9123 CENTER AVE,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91730,"","",34.088079,-117.580270,NAD83,NCI GROUP INC,861174324,CORNERSTONE BUILDING BRANDS,NO,332,Fabricated Metals,"","","","","","",332812,"","","","","",1320219363266,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475,YES,TRI,YES,1,NO,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2020,95688LZCRP700EU,110000485831,ALZA CORP,700 EUBANKS DRIVE,VACAVILLE,SOLANO,CA,95688,"","",38.398790,-121.959600,NAD83,JOHNSON & JOHNSON,001307081,JOHNSON & JOHNSON INC,NO,325,Chemicals,"","","","","","",325412,"","","","","",1320219378914,Nicotine and salts,NO,N503,N503,649897,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,953.000000,0.000000,0.000000,0.000000,0.000000,953.000000,0.000000,953.000000,8.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,953.000000,961.000000,"",PRODUCTION,1.240000
